url,company,name,city,jd_raw,salary,company_size,duration,academic,publish_time,deadline,collect_time,source,responsibility,requirement,degree,major_pref,intern_days,intern_months,graduation_batch,is_shanghai,is_big_company,is_27_match,score
https://www.shixiseng.com/intern/inn_akk7irihdrrc?pcm=pc_SearchList,美团,公司简介美团,工作地点：上海市/上海市/杨浦区 互联宝地收起地图,岗位职责: 1、参与住宿的补贴专项，通过差异化用户&供给补贴策略，提升用户增长与转化； 2、有强分析能力，可基于历史数据&实验手段，完成补贴策略的分析及迭代，科学化提升补贴效率； 3、能搭建数据分析看板，日常监控补贴相关数据，并能洞察异动并进行及时调整； 4、结合业务发展阶段，能有新的增长思路或想法输出，并推进落地。 岗位要求: 1、擅长数据分析，会使用SQL、Python等工具进行数据分析，并给出策略建议； 2、善于沟通与合作，能够有效地与团队成员和其他部门进行合作； 3、有好奇心，学习意愿强，愿意钻研成长； 4、2027年或2028年毕业，1周4天以上，可实习6个月及以上。 岗位亮点: 1、有机会参与境外市场的规划和决策。业务快速发展，有机会实现自己的代表作； 2、境外业务，有机会接触不同区域和国家的合作者； 3、用户增长是部门现阶段的核心方向，有很大的探索创新型空间，长期成长和回报的空间巨大。 具备以下优先: 有强数据分析能力同学优先(SQL、Python等) AI经验同学优先,,,可实习6个月，1周，4天,,,,,shixiseng,1、参与住宿的补贴专项，通过差异化用户&供给补贴策略，提升用户增长与转化； 2、有强分析能力，可基于历史数据&实验手段，完成补贴策略的分析及迭代，科学化提升补贴效率； 3、能搭建数据分析看板，日常监控补贴相关数据，并能洞察异动并进行及时调整； 4、结合业务发展阶段，能有新的增长思路或想法输出，并推进落地。,1、擅长数据分析，会使用SQL、Python等工具进行数据分析，并给出策略建议； 2、善于沟通与合作，能够有效地与团队成员和其他部门进行合作； 3、有好奇心，学习意愿强，愿意钻研成长； 4、2027年或2028年毕业，1周4天以上，可实习6个月及以上。 岗位亮点: 1、有机会参与境外市场的规划和决策。业务快速发展，有机会实现自己的代表作； 2、境外业务，有机会接触不同区域和国家的合作者； 3、用户增长是部门现阶段的核心方向，有很大的探索创新型空间，长期成长和回报的空间巨大。 具备以下优先: 有强数据分析能力同学优先(SQL、Python等) AI经验同学优先,,,4天以上,实习6个月,,True,True,True,100
https://www.shixiseng.com/intern/inn_hlbxpgsxjexy?pcm=pc_SearchList,携程集团,公司简介携程集团,工作地点：上海市/上海市/长宁区收起地图,岗位职责： 1、基于数据分析和特征挖掘，构建风险策略并持续迭代优化； 2、基于业务需求，对关键指标进行整理和分析，形成数据报表监控； 3、通过多维度拆解定位业务指标波动原因； 4、根据业务分析需求，参与设计开发底层宽表结构，提升分析效率； 职位要求： 1. 硕士学历，有互联网/金融行业数据建模实习、项目经验优先； 2. 熟悉HIVE/ORACLE/MYSQL至少一种常用数据库，熟练使用python\SAS\R语言建模实现； 3. 具备强逻辑能力、举一反三的主动思考能力，能快速理解业务并能用数据表达业务、刻画用户特征； 4. 对于业务数据足够严谨、细心、耐心，具有良好的逻辑分析能力、沟通能力和文字表达能力； 5. 强上进心，对自己严格要求，对产出的东西有高品质追求和执念，能够承受较大压力，有多任务并发处理能力，良好的沟通与表达能力、总结能力和推动能力。 6.实习4-6个月以上优先，26-27届毕业生优先 ，有留用机会。,,,6个月,硕士,,,,shixiseng,1、基于数据分析和特征挖掘，构建风险策略并持续迭代优化； 2、基于业务需求，对关键指标进行整理和分析，形成数据报表监控； 3、通过多维度拆解定位业务指标波动原因； 4、根据业务分析需求，参与设计开发底层宽表结构，提升分析效率；,1. 硕士学历，有互联网/金融行业数据建模实习、项目经验优先； 2. 熟悉HIVE/ORACLE/MYSQL至少一种常用数据库，熟练使用python\SAS\R语言建模实现； 3. 具备强逻辑能力、举一反三的主动思考能力，能快速理解业务并能用数据表达业务、刻画用户特征； 4. 对于业务数据足够严谨、细心、耐心，具有良好的逻辑分析能力、沟通能力和文字表达能力； 5. 强上进心，对自己严格要求，对产出的东西有高品质追求和执念，能够承受较大压力，有多任务并发处理能力，良好的沟通与表达能力、总结能力和推动能力。 6.实习4-6个月以上优先，26-27届毕业生优先 ，有留用机会。,硕士,,,实习、项目经验优先； 2. 熟悉HIVE/ORACLE/MYSQL至少一种常用数据库，熟练使用python\SAS\R语言建模实现； 3. 具备强逻辑能力、举一反三的主动思考能力，能快速理解业务并能用数据表达业务、刻画用户特征； 4. 对于业务数据足够严谨、细心、耐心，具有良好的逻辑分析能力、沟通能力和文字表达能力； 5. 强上进心，对自己严格要求，对产出的东西有高品质追求和执念，能够承受较大压力，有多任务并发处理能力，良好的沟通与表达能力、总结能力和推动能力。 6.实习4-6个月,27届,True,True,True,93
https://www.shixiseng.com/intern/inn_lmvntnno0yex?pcm=pc_SearchList,携程集团,公司简介携程集团,工作地点：上海市/上海市/长宁区收起地图,"岗位描述： 1.支持集团业务在支付或消费金融相关场景的风险管理体系建设，从业务、支付等角度挖掘潜在风险特征、还原风险场景，提供应对策略及解决方案 2.日常监控风险指标,，研究风险指标动态并进行周期性分析，对异常指标及时分析、提供干预或调整意见 3.利用用户、行为画像评估用户风险等级，为公司运营决策、产品方向、风险管理提供数据支持和建议 4.利用统计分析或数据挖掘工具进行数据收集整理及挖掘，可进行基础建模，持续优化风险策略 5.定期产出可视化报表，及其他相关策略分析工作 任职资格： 1.本科及以上学历 2.熟练使用Excel、SQL、Hive数据库工具及至少一种统计分析或数据挖掘工具（例如Python、R 、SAS等），有建模基础优先 3.积极进取、抗压性强，具备优秀的责任心和沟通协作能力 4.实习3-6个月以上优先，26-27届毕业生优先 ，有留用机会。",,,6个月,本科及以上,,,,shixiseng,,"岗位描述： 1.支持集团业务在支付或消费金融相关场景的风险管理体系建设，从业务、支付等角度挖掘潜在风险特征、还原风险场景，提供应对策略及解决方案 2.日常监控风险指标,，研究风险指标动态并进行周期性分析，对异常指标及时分析、提供干预或调整意见 3.利用用户、行为画像评估用户风险等级，为公司运营决策、产品方向、风险管理提供数据支持和建议 4.利用统计分析或数据挖掘工具进行数据收集整理及挖掘，可进行基础建模，持续优化风险策略 5.定期产出可视化报表，及其他相关策略分析工作 任职资格： 1.本科及以上学历 2.熟练使用Excel、SQL、Hive数据库工具及至少一种统计分析或数据挖掘工具（例如Python、R 、SAS等），有建模基础优先 3.积极进取、抗压性强，具备优秀的责任心和沟通协作能力 4.实习3-6个月以上优先，26-27届毕业生优先 ，有留用机会。",本科及以上,,,实习3-6个月,27届,True,True,True,83
https://jobs.bytedance.com/campus/position/7605878127400028469/detail,字节跳动,内容策略产品实习生（大模型方向）-抖音UGC,上海,Bytelntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合 岗位要求：1、2027届本科及以上学历在读，统计/数学/大数据/计算机等相关专业优先； 2、有产品或数据相关实习经验者优先，熟悉抖音App，对内容产品、内容社区、UGC生态有较强认知和兴趣； 3、对模型方向有系统性了解，理解其基本原理与应用方式，熟练AI工作流搭建、撰写Prompt，参与过非对话类大模型项目（如LLM内容理解、多模态生成、模型评估等），了解多模态特征融合与推荐系统原理者优先； 4、逻辑清晰，具备扎实的数据分析能力，熟悉数据库与数据平台，熟练使用SQL/Python，能够将业务或分析目标拆解为可执行的数据分析方案； 5、实习期4个月及以上，每周可工作5天； 6、具备良好的沟通协调能力和细节把控力，主人翁意识强，能配合多团队推进业务落地，对UGC内容策略与AI模型应用有热情。,,,,,,,2026-03-14 15:39:08,bytedance,,1、2027届本科及以上学历在读，统计/数学/大数据/计算机等相关专业优先； 2、有产品或数据相关实习经验者优先，熟悉抖音App，对内容产品、内容社区、UGC生态有较强认知和兴趣； 3、对模型方向有系统性了解，理解其基本原理与应用方式，熟练AI工作流搭建、撰写Prompt，参与过非对话类大模型项目（如LLM内容理解、多模态生成、模型评估等），了解多模态特征融合与推荐系统原理者优先； 4、逻辑清晰，具备扎实的数据分析能力，熟悉数据库与数据平台，熟练使用SQL/Python，能够将业务或分析目标拆解为可执行的数据分析方案； 5、实习期4个月及以上，每周可工作5天； 6、具备良好的沟通协调能力和细节把控力，主人翁意识强，能配合多团队推进业务落地，对UGC内容策略与AI模型应用有热情。,本科及以上,,每周可工作5天,实习经验者优先，熟悉抖音App，对内容产品、内容社区、UGC生态有较强认知和兴趣； 3、对模型方向有系统性了解，理解其基本原理与应用方式，熟练AI工作流搭建、撰写Prompt，参与过非对话类大模型项目（如LLM内容理解、多模态生成、模型评估等），了解多模态特征融合与推荐系统原理者优先； 4、逻辑清晰，具备扎实的数据分析能力，熟悉数据库与数据平台，熟练使用SQL/Python，能够将业务或分析目标拆解为可执行的数据分析方案； 5、实习期4个月,2027届,True,True,True,82
https://www.shixiseng.com/intern/inn_w9ijjlbks3dz?pcm=pc_SearchList,美团,公司简介美团,工作地点：上海市/上海市/杨浦区 互联宝地收起地图,岗位职责: 1、参与美团商业化广告方向的重点项目跟进/新产品功能推广渗透等工作，从业务视角出发完成客户增长及收入目标达成； 2、监控行业数据，能够利用数据辅助项目推动效率提升，帮助商家提升搜索推广场景下的投流效率及效果； 3、从客户广告投放真实问题入手，完成问题排查解决和思路沉淀，帮助各协作方提升工作效率； 岗位要求: 1、对商业化广告投放基础概念有一定了解，本科及以上学历，2026年-2027年毕业，对搜索广告有经验优先 2、逻辑思维能力强，能够快速理解和掌握业务需求、理解产品框架 3、有一定数据分析基础和数据敏感度 4、自驱力和责任心强，具备良好的沟通能力和项目推动能力 5、有一定抗压能力,,,,本科及以上,,,,shixiseng,1、参与美团商业化广告方向的重点项目跟进/新产品功能推广渗透等工作，从业务视角出发完成客户增长及收入目标达成； 2、监控行业数据，能够利用数据辅助项目推动效率提升，帮助商家提升搜索推广场景下的投流效率及效果； 3、从客户广告投放真实问题入手，完成问题排查解决和思路沉淀，帮助各协作方提升工作效率；,1、对商业化广告投放基础概念有一定了解，本科及以上学历，2026年-2027年毕业，对搜索广告有经验优先 2、逻辑思维能力强，能够快速理解和掌握业务需求、理解产品框架 3、有一定数据分析基础和数据敏感度 4、自驱力和责任心强，具备良好的沟通能力和项目推动能力 5、有一定抗压能力,本科及以上,,,,2027年毕业,True,True,True,82
https://www.shixiseng.com/intern/inn_plhjhpiv4e6l?pcm=pc_SearchList,小红书,公司简介小红书,工作地点：上海市/上海市/黄浦区 LuOne凯德晶萃广场办公楼收起地图,【工作职责】 1、对经营方向进行分析，协同策略产品，通过数据分析和案例排查，快速定位电商笔记/直播流量效率问题，推动流量效率提升。 2、设计资源分配和管理体系，及时识别问题并优化，提高资源使用效率。 3、协助制定电商商家激励政策，评估不同激励政策的效果，运营商家激励的日常配置。 4、基于数据分析/ 行业研究/平台调研等信息，迭代平台商家激励政策，推动商家体验提升。 5、其他内部运营向工作，如协助项目执行、进度跟踪。 【任职资格】 1、2026/27届本科及以上学历在读，计算机、统计学、经济学等相关专业优先。 2、Base上海，一周5天，实习6个月以上，尽快到岗，线下办公。 3、具备优秀的数据整理与分析能力，熟练掌握 SQL者优先；熟练使用办公软件，熟练操作Excel（vlookup等常用公式）。 4、对电商行业敏锐，喜欢做定量分析，对资管类工作有热情。 5、具备高效学习能力，逻辑清晰，踏实有耐心、执行能力强，富有责任心和专业态度，有良好的沟通能力与抗压能力。 【加分项】 1、有电商或数据分析相关互联网实习经验/项目经历者优先 2、小红书重度使用者,,,实习6个月，一周，5天,本科及以上,,,,shixiseng,】 1、对经营方向进行分析，协同策略产品，通过数据分析和案例排查，快速定位电商笔记/直播流量效率问题，推动流量效率提升。 2、设计资源分配和管理体系，及时识别问题并优化，提高资源使用效率。 3、协助制定电商商家激励政策，评估不同激励政策的效果，运营商家激励的日常配置。 4、基于数据分析/ 行业研究/平台调研等信息，迭代平台商家激励政策，推动商家体验提升。 5、其他内部运营向工作，如协助项目执行、进度跟踪。 【任职资格】 1、2026/27届本科及以上学历在读，计算机、统计学、经济学等相关专业优先。 2、Base上海，一周5天，实习6个月以上，尽快到岗，线下办公。 3、具备优秀的数据整理与分析能力，熟练掌握 SQL者优先；熟练使用办公软件，熟练操作Excel（vlookup等常用公式）。 4、对电商行业敏锐，喜欢做定量分析，对资管类工作有热情。 5、具备高效学习能力，逻辑清晰，踏实有耐心、执行能力强，富有责任心和专业态度，有良好的沟通能力与抗压能力。 【,,本科及以上,,,实习6个月,27届,True,True,True,78
https://jobs.bytedance.com/campus/position/7597811305958066485/detail,字节跳动,后端开发实习生-商业信任与安全,上海,ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合 岗位要求：1、2027届硕士及以上学位在读，计算机相关专业； 2、具备良好的编码能力，扎实的计算机基础、数据结构和算法功底，熟悉C++/Golang/Python中的至少一门编程语言； 3、对可扩展性、稳定性、性能、质量有特别的执着，若具有高可用、高性能Web实践经验更佳； 4、对数据敏感，熟悉常用的大数据处理工具（Hive/Spark）、Linux操作系统和开发环境； 5、能快速理解业务，较好的产品意识，善于沟通，工作积极主动，责任心强，具备良好的团队协作能力； 6、有统计背景、数据分析与数据挖掘经验，广告相关领域经验（互联网广告系统、搜索引擎、个性化推荐系统开发），或者内容安全平台或规则引擎背景优先。,,,,,,,2026-03-14 15:41:13,bytedance,,1、2027届硕士及以上学位在读，计算机相关专业； 2、具备良好的编码能力，扎实的计算机基础、数据结构和算法功底，熟悉C++/Golang/Python中的至少一门编程语言； 3、对可扩展性、稳定性、性能、质量有特别的执着，若具有高可用、高性能Web实践经验更佳； 4、对数据敏感，熟悉常用的大数据处理工具（Hive/Spark）、Linux操作系统和开发环境； 5、能快速理解业务，较好的产品意识，善于沟通，工作积极主动，责任心强，具备良好的团队协作能力； 6、有统计背景、数据分析与数据挖掘经验，广告相关领域经验（互联网广告系统、搜索引擎、个性化推荐系统开发），或者内容安全平台或规则引擎背景优先。,硕士及以上,,,,2027届,True,True,True,77
https://www.shixiseng.com/intern/inn_n7ht7guf8tr5?pcm=pc_SearchList,美团,公司简介美团,工作地点：上海市/上海市/杨浦区 互联宝地T6栋收起地图,岗位职责: （1）负责出境游活动运营和境外大客户营销执行工作支持，包括参与主题营销活动策划、广告投放和复盘结案等； （2）跟进出境游日常节点活动上线，全线协调并管理项目，与大促协同方沟通，推进项目执行落地; （3）协助日常营销、运营活动数据分析和统计工作，追踪效果并思考提升方向； 岗位要求: 1. 27届毕业及以后，至少一段互联网或活动运营相关实习经历； 2. 工作主动性强，有抗压能力，具备优秀的逻辑思维、沟通能力和执行能力； 3. 对旅游行业感兴趣，熟悉互联网平台，擅长发现热点话题和趋势； 岗位亮点: 有机会参与到大平台新业务0到1的建设过程，有多岗位职能学习和锻炼的机会,,,,,,,,shixiseng,（1）负责出境游活动运营和境外大客户营销执行工作支持，包括参与主题营销活动策划、广告投放和复盘结案等； （2）跟进出境游日常节点活动上线，全线协调并管理项目，与大促协同方沟通，推进项目执行落地; （3）协助日常营销、运营活动数据分析和统计工作，追踪效果并思考提升方向；,1. 27届毕业及以后，至少一段互联网或活动运营相关实习经历； 2. 工作主动性强，有抗压能力，具备优秀的逻辑思维、沟通能力和执行能力； 3. 对旅游行业感兴趣，熟悉互联网平台，擅长发现热点话题和趋势； 岗位亮点: 有机会参与到大平台新业务0到1的建设过程，有多岗位职能学习和锻炼的机会,,,,,27届,True,True,True,77
